cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
pad,6,0.15,M1,33,18,0.0,0.0,0.10576281007457927,0.0,0.0
pad,6,0.15,M2,146,106,0.0,0.0,0.024949776111947798,0.0,0.0
pad,6,0.15,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,6,0.15,B,18,17,0.05555555555555555,0.0014055561673694233,0.27294359967336845,0.0,0.17647058823529413
hiba,7,0.05,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,7,0.05,M2,112,84,0.0,0.0,0.03239992593135989,0.0,0.0
hiba,7,0.05,M3,5,5,0.0,0.0,0.5218237501049814,0.0,0.0
hiba,7,0.05,B,248,84,0.0,0.0,0.014764434812554551,0.0,0.0
hiba,7,0.1,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,7,0.1,M2,112,84,0.008928571428571428,0.0002260263092066397,0.04874330473012579,0.0,0.027914070612668738
hiba,7,0.1,M3,5,5,0.0,0.0,0.5218237501049814,0.0,0.0
hiba,7,0.1,B,248,84,0.05241935483870968,0.0282028798651928,0.08797071285405429,0.02099476439790576,0.08556939501779359
hiba,7,0.15,M1,19,11,0.05263157894736842,0.001331628804179424,0.2602806541952142,0.0,0.19136363636363596
hiba,7,0.15,M2,112,84,0.026785714285714284,0.005558292065040165,0.07628622472576431,0.0,0.05703252032520324
hiba,7,0.15,M3,5,5,0.0,0.0,0.5218237501049814,0.0,0.0
hiba,7,0.15,B,248,84,0.13709677419354838,0.09684739725779477,0.18627731181295845,0.0670375130532573,0.2066998179016669
pad,7,0.05,M1,22,16,0.0,0.0,0.15437251281557457,0.0,0.0
pad,7,0.05,M2,157,109,0.0,0.0,0.023222164603325136,0.0,0.0
pad,7,0.05,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,7,0.05,B,17,14,0.0,0.0,0.19506432296909318,0.0,0.0
pad,7,0.1,M1,22,16,0.0,0.0,0.15437251281557457,0.0,0.0
pad,7,0.1,M2,157,109,0.0,0.0,0.023222164603325136,0.0,0.0
pad,7,0.1,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,7,0.1,B,17,14,0.0,0.0,0.19506432296909318,0.0,0.0
pad,7,0.15,M1,22,16,0.0,0.0,0.15437251281557457,0.0,0.0
pad,7,0.15,M2,157,109,0.0,0.0,0.023222164603325136,0.0,0.0
pad,7,0.15,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,7,0.15,B,17,14,0.11764705882352941,0.014579316840302498,0.36440916210125024,0.0,0.3
hiba,8,0.05,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,8,0.05,M2,125,98,0.0,0.0,0.02907983713643152,0.0,0.0
hiba,8,0.05,M3,9,7,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,8,0.05,B,211,69,0.0,0.0,0.01733090287505468,0.0,0.0
hiba,8,0.1,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,8,0.1,M2,125,98,0.016,0.0019435818023689144,0.05660211961975487,0.0,0.05128205128205128
hiba,8,0.1,M3,9,7,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,8,0.1,B,211,69,0.037914691943127965,0.01650859344099453,0.07333757607942325,0.009753480831584971,0.07248737373737373
hiba,8,0.15,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,8,0.15,M2,125,98,0.032,0.008786433013500492,0.07990637753352066,0.0,0.07409057038341686
hiba,8,0.15,M3,9,7,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,8,0.15,B,211,69,0.10426540284360189,0.0665049770323097,0.153597726767723,0.04617401350870956,0.16855200888545485
pad,8,0.05,M1,37,19,0.0,0.0,0.09489058741498986,0.0,0.0
pad,8,0.05,M2,178,121,0.0,0.0,0.020510774714510616,0.0,0.0
pad,8,0.05,M3,70,46,0.0,0.0,0.05133379715102374,0.0,0.0
pad,8,0.05,B,19,16,0.0,0.0,0.17646691180696533,0.0,0.0
pad,8,0.1,M1,37,19,0.0,0.0,0.09489058741498986,0.0,0.0
pad,8,0.1,M2,178,121,0.0,0.0,0.020510774714510616,0.0,0.0
pad,8,0.1,M3,70,46,0.0,0.0,0.05133379715102374,0.0,0.0
pad,8,0.1,B,19,16,0.0,0.0,0.17646691180696533,0.0,0.0
pad,8,0.15,M1,37,19,0.0,0.0,0.09489058741498986,0.0,0.0
pad,8,0.15,M2,178,121,0.0,0.0,0.020510774714510616,0.0,0.0
pad,8,0.15,M3,70,46,0.0,0.0,0.05133379715102374,0.0,0.0
pad,8,0.15,B,19,16,0.05263157894736842,0.001331628804179424,0.2602806541952142,0.0,0.13636363636363635
hiba,9,0.05,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
hiba,9,0.05,M2,119,90,0.0,0.0,0.03052344485379618,0.0,0.0
hiba,9,0.05,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,9,0.05,B,203,69,0.0,0.0,0.018007708024901935,0.0,0.0
hiba,9,0.1,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
hiba,9,0.1,M2,119,90,0.0,0.0,0.03052344485379618,0.0,0.0
hiba,9,0.1,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,9,0.1,B,203,69,0.03940886699507389,0.017164995927606824,0.0761718317682854,0.0,0.08477992595639651
hiba,9,0.15,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
hiba,9,0.15,M2,119,90,0.008403361344537815,0.00021273205826973461,0.04593100044411776,0.0,0.02587513935340021
