cohort,head,draw,alpha,stratum,degenerate,coverage,miss_rate,referral,set_size,n_test
pad,primary,4,0.15,M3,False,0.8985507246376812,0.0,1.0,3.0,69
pad,primary,4,0.15,B,False,1.0,,0.875,3.25,16
hiba,pad_only,4,0.05,M1,False,1.0,0.0,1.0,7.105263157894737,19
hiba,pad_only,4,0.05,M2,False,0.975609756097561,0.0,1.0,7.048780487804878,123
hiba,pad_only,4,0.05,M3,False,1.0,0.0,1.0,7.571428571428571,14
hiba,pad_only,4,0.05,B,False,0.9711538461538461,,1.0,7.086538461538462,208
hiba,primary,4,0.05,M1,False,1.0,0.0,1.0,6.2631578947368425,19
hiba,primary,4,0.05,M2,False,0.959349593495935,0.0,1.0,6.365853658536586,123
hiba,primary,4,0.05,M3,False,0.9285714285714286,0.0,1.0,6.0,14
hiba,primary,4,0.05,B,False,0.9759615384615384,,1.0,5.600961538461538,208
hiba,pad_only,4,0.1,M1,False,1.0,0.0,1.0,6.894736842105263,19
hiba,pad_only,4,0.1,M2,False,0.9512195121951219,0.0,1.0,6.40650406504065,123
hiba,pad_only,4,0.1,M3,False,0.9285714285714286,0.0,1.0,6.571428571428571,14
hiba,pad_only,4,0.1,B,False,0.9711538461538461,,0.9951923076923077,5.663461538461538,208
hiba,primary,4,0.1,M1,False,0.9473684210526315,0.0,1.0,4.578947368421052,19
hiba,primary,4,0.1,M2,False,0.9186991869918699,0.0,1.0,4.853658536585366,123
hiba,primary,4,0.1,M3,False,0.8571428571428571,0.0,1.0,4.714285714285714,14
hiba,primary,4,0.1,B,False,0.9471153846153846,,0.9326923076923077,3.764423076923077,208
hiba,pad_only,4,0.15,M1,False,0.8947368421052632,0.05263157894736842,0.9473684210526315,4.684210526315789,19
hiba,pad_only,4,0.15,M2,False,0.8699186991869918,0.016260162601626018,0.983739837398374,4.650406504065041,123
hiba,pad_only,4,0.15,M3,False,0.8571428571428571,0.07142857142857142,0.9285714285714286,4.285714285714286,14
hiba,pad_only,4,0.15,B,False,0.9230769230769231,,0.9951923076923077,4.197115384615385,208
hiba,primary,4,0.15,M1,False,0.8947368421052632,0.0,1.0,3.6842105263157894,19
hiba,primary,4,0.15,M2,False,0.8455284552845529,0.016260162601626018,0.983739837398374,3.894308943089431,123
hiba,primary,4,0.15,M3,False,0.8571428571428571,0.0,1.0,4.142857142857143,14
hiba,primary,4,0.15,B,False,0.9182692307692307,,0.8605769230769231,2.860576923076923,208
pad,pad_only,5,0.05,M1,True,1.0,0.0,1.0,7.142857142857143,42
pad,pad_only,5,0.05,M2,False,0.9540229885057471,0.0,1.0,6.022988505747127,174
pad,pad_only,5,0.05,M3,False,0.9885057471264368,0.0,1.0,6.471264367816092,87
pad,pad_only,5,0.05,B,False,1.0,,1.0,6.25,12
pad,primary,5,0.05,M1,True,1.0,0.0,1.0,4.833333333333333,42
pad,primary,5,0.05,M2,False,0.9827586206896551,0.0,1.0,4.212643678160919,174
pad,primary,5,0.05,M3,False,0.9885057471264368,0.0,1.0,4.402298850574713,87
pad,primary,5,0.05,B,False,1.0,,1.0,4.75,12
pad,pad_only,5,0.1,M1,False,0.8095238095238095,0.047619047619047616,0.9523809523809523,4.023809523809524,42
pad,pad_only,5,0.1,M2,False,0.8793103448275862,0.022988505747126436,0.9770114942528736,4.264367816091954,174
pad,pad_only,5,0.1,M3,False,0.9425287356321839,0.0,1.0,4.862068965517241,87
pad,pad_only,5,0.1,B,False,1.0,,1.0,3.5833333333333335,12
pad,primary,5,0.1,M1,False,0.9523809523809523,0.0,1.0,4.071428571428571,42
pad,primary,5,0.1,M2,False,0.8908045977011494,0.0,1.0,3.5172413793103448,174
pad,primary,5,0.1,M3,False,0.9770114942528736,0.0,1.0,3.8620689655172415,87
