cohort,head,draw,top1,bal_acc,macro_f1,auc_ovr
hiba,pad_only,26,0.4888888888888889,0.3289578438212892,0.2951658101212047,0.7338623384815115
hiba,primary,26,0.5555555555555556,0.3808189568562468,0.3867965686176016,0.7974790025521981
pad,pad_only,27,0.6556776556776557,0.5678987199034369,0.412696093192248,0.881664333233831
pad,primary,27,0.5677655677655677,0.5367952321961756,0.3931264685694155,0.8441798334704603
hiba,pad_only,27,0.5087719298245614,0.31078362258955206,0.28341693603987383,0.7239237480923666
hiba,primary,27,0.5614035087719298,0.4012036664185338,0.4099742233454021,0.7972207408934133
pad,pad_only,28,0.6600660066006601,0.5424773211356598,0.3786224914588494,0.8740341549102683
pad,primary,28,0.5874587458745875,0.45101823772329935,0.3100604673417769,0.81919701101259
hiba,pad_only,28,0.45686900958466453,0.31111672243896626,0.281963889316854,0.7212214209929397
hiba,primary,28,0.4984025559105431,0.4043045013510045,0.40106738133624886,0.8382354529445311
pad,pad_only,29,0.6344827586206897,0.5153432973640185,0.3679548195365665,0.8804553524922826
pad,primary,29,0.5724137931034483,0.5537226421713803,0.3775695106603971,0.8407697549439636
hiba,pad_only,29,0.4326424870466321,0.27998982201576283,0.24451465049832904,0.7166357165185566
hiba,primary,29,0.5880829015544041,0.4298493425697024,0.4300740636123921,0.8077906139967976
pad,pad_only,30,0.6644518272425249,0.6137723129795299,0.4179730901704364,0.8933738566999913
pad,primary,30,0.6079734219269103,0.6191097956475212,0.4156030231866365,0.8565012362616052
hiba,pad_only,30,0.48787061994609165,0.2959772267961923,0.26529619099167506,0.7141676402899451
hiba,primary,30,0.5336927223719676,0.3812395937395937,0.3740805068944353,0.7928872766167474
pad,pad_only,31,0.6391752577319587,0.575847830057302,0.41566414323681466,0.8853394024418053
pad,primary,31,0.5910652920962199,0.6132459534735063,0.43323080096731553,0.8537587414665494
hiba,pad_only,31,0.5015384615384615,0.34171626984126985,0.31377988906593024,0.73039400835162
hiba,primary,31,0.5723076923076923,0.42778173165401423,0.436616569704805,0.7998964796292779
pad,pad_only,32,0.6140350877192983,0.5582538926569736,0.4011897514369707,0.8569624163110313
pad,primary,32,0.5368421052631579,0.510066511671133,0.36285971780157833,0.7988153179054418
hiba,pad_only,32,0.48484848484848486,0.3413554789984996,0.315703656462585,0.7390768174013547
hiba,primary,32,0.5387205387205387,0.4236086210700055,0.43119431643625195,0.7833218257276819
pad,pad_only,33,0.6373239436619719,0.5865966386554622,0.43904973264635844,0.8700652348954648
pad,primary,33,0.5633802816901409,0.5362745098039216,0.3796361266295336,0.8144613028924614
hiba,pad_only,33,0.5425790754257908,0.2948823235587942,0.2605593513184828,0.7147675694057547
hiba,primary,33,0.5766423357664233,0.3478992412815942,0.31986759343110643,0.7797546826620957
pad,pad_only,34,0.6158940397350994,0.5858411397345823,0.41744896353293326,0.8655181231775981
pad,primary,34,0.5596026490066225,0.5202933905802758,0.3460092103462721,0.8353932342403866
hiba,pad_only,34,0.5043988269794721,0.3181379626072663,0.298486776039523,0.7203816494433757
hiba,primary,34,0.5102639296187683,0.40233601662380203,0.41216362470788537,0.7767055524834113
pad,pad_only,35,0.6385135135135135,0.5610228097973197,0.4043771813444253,0.8724608756925946
pad,primary,35,0.5777027027027027,0.5015052485640721,0.3688985993801779,0.840276010382896
hiba,pad_only,35,0.5014836795252225,0.3594506642139032,0.2937689108025215,0.7302843757434829
hiba,primary,35,0.5637982195845698,0.4777194479036732,0.4417611910662811,0.8523623233008654
pad,pad_only,36,0.6383763837638377,0.5488363911625891,0.373798814493125,0.871628675327517
pad,primary,36,0.5940959409594095,0.5053502683854215,0.3198301934931331,0.8492821536843141
hiba,pad_only,36,0.3961038961038961,0.2899561953354523,0.27442388129328726,0.7172712415892009
hiba,primary,36,0.512987012987013,0.42922295175584646,0.43378165548206243,0.7953308462396755
pad,pad_only,37,0.6604477611940298,0.6297473630802533,0.42999146861863824,0.8834543427216285
pad,primary,37,0.6044776119402985,0.5440872551552267,0.375846378041622,0.860968365586828
hiba,pad_only,37,0.49390243902439024,0.3088775663142955,0.29107123476742186,0.7204213623816265
hiba,primary,37,0.6036585365853658,0.4236529144031714,0.4194578997728111,0.8108831214924049
pad,pad_only,38,0.627906976744186,0.5697667061121678,0.3906305472059833,0.881998475047079
pad,primary,38,0.5614617940199336,0.4895795890398049,0.3201990038933542,0.8482940212315185
hiba,pad_only,38,0.5546666666666666,0.3668350994243852,0.3376253381422901,0.754369054181864
hiba,primary,38,0.6453333333333333,0.47171556122448977,0.45560549403912787,0.8357299316233314
pad,pad_only,39,0.6655629139072847,0.52730652919415,0.40737123812007003,0.8733701392888508
pad,primary,39,0.5860927152317881,0.4754189084742202,0.33329592535411257,0.8168268512929714
hiba,pad_only,39,0.553133514986376,0.3586228948655389,0.30547242992487045,0.7567209773168999
hiba,primary,39,0.555858310626703,0.38773116625732557,0.35721742611076557,0.8234879958812141
pad,pad_only,40,0.6071428571428571,0.4857987403135438,0.3366474698580302,0.8640696836303862
pad,primary,40,0.5178571428571429,0.4516820459740974,0.2835177332399704,0.8108281806547238
hiba,pad_only,40,0.49318801089918257,0.3131020751346194,0.2814201303689652,0.7330313966924491
hiba,primary,40,0.5694822888283378,0.47921834818657444,0.4752444147960768,0.8346185431870367
pad,pad_only,41,0.6190476190476191,0.5050259350259351,0.37299074107643504,0.8708014237892142
pad,primary,41,0.5680272108843537,0.45314041314041315,0.313808854236706,0.8467193171039834
hiba,pad_only,41,0.5454545454545454,0.33524817814444496,0.3025202313702203,0.7468547086011442
hiba,primary,41,0.6336088154269972,0.4381454734725758,0.44669362706966886,0.847144491089481
pad,pad_only,42,0.6164383561643836,0.5210613694672399,0.3426946331084509,0.8679199505467654
pad,primary,42,0.5616438356164384,0.5337910177991149,0.35142388140206016,0.8239134748095395
hiba,pad_only,42,0.4721311475409836,0.3292096822498527,0.29525063103536897,0.7230173282883251
hiba,primary,42,0.5278688524590164,0.45598599374908155,0.4461277064651957,0.8329245175471092
pad,pad_only,43,0.6407766990291263,0.6451408543936896,0.43664442827314526,0.8805338492197489
pad,primary,43,0.5566343042071198,0.6366783708050553,0.3996250440214955,0.8508597921498059
hiba,pad_only,43,0.5,0.3473100690657942,0.30208973783480525,0.7330153945703423
hiba,primary,43,0.5822784810126582,0.4944637900267671,0.46653083828001807,0.8483513192359209
pad,pad_only,44,0.6397058823529411,0.5541676841676842,0.40489218979628505,0.8663807902639359
