variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
derm_only_for_mixed,9,0.15,all,349,146,0.8853868194842407,3.383954154727794,0.0,0.18719211822660098,0.8911174785100286
averaged,10,0.05,derm,204,76,0.9362745098039216,5.529411764705882,0.0,0.0,1.0
averaged,10,0.05,clin,14,8,0.8571428571428571,4.714285714285714,0.0,0.0,1.0
averaged,10,0.05,both,80,62,0.8875,5.325,0.0,0.0,1.0
averaged,10,0.05,all,298,146,0.9194630872483222,5.436241610738255,0.0,0.0,1.0
derm_only_for_mixed,10,0.05,derm,204,76,0.9264705882352942,4.784313725490196,0.0,0.015625,0.9901960784313726
derm_only_for_mixed,10,0.05,clin,14,8,0.7857142857142857,4.142857142857143,0.0,0.0,1.0
derm_only_for_mixed,10,0.05,both,80,62,0.9375,5.4625,0.0,0.0,1.0
derm_only_for_mixed,10,0.05,all,298,146,0.9228187919463087,4.936241610738255,0.0,0.013157894736842105,0.9932885906040269
averaged,10,0.1,derm,204,76,0.9019607843137255,4.186274509803922,0.0,0.0234375,0.9852941176470589
averaged,10,0.1,clin,14,8,0.7857142857142857,3.857142857142857,0.0,0.0,1.0
averaged,10,0.1,both,80,62,0.8625,4.3875,0.0,0.0,1.0
averaged,10,0.1,all,298,146,0.8859060402684564,4.224832214765101,0.0,0.019736842105263157,0.9899328859060402
derm_only_for_mixed,10,0.1,derm,204,76,0.8774509803921569,3.7549019607843137,0.0,0.046875,0.9705882352941176
derm_only_for_mixed,10,0.1,clin,14,8,0.6428571428571429,3.4285714285714284,0.0,0.0,1.0
derm_only_for_mixed,10,0.1,both,80,62,0.8875,4.3,0.0,0.0,1.0
derm_only_for_mixed,10,0.1,all,298,146,0.8691275167785235,3.8859060402684564,0.0,0.039473684210526314,0.9798657718120806
