variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
averaged,8,0.1,both,80,61,0.95,4.4125,0.0,0.0,1.0
averaged,8,0.1,all,364,153,0.9587912087912088,4.3076923076923075,0.013071895424836602,0.037914691943127965,0.9725274725274725
derm_only_for_mixed,8,0.1,derm,258,73,0.9573643410852714,3.949612403100775,0.0273972602739726,0.0972972972972973,0.9224806201550387
derm_only_for_mixed,8,0.1,clin,26,19,0.8076923076923077,3.5,0.0,0.0,1.0
derm_only_for_mixed,8,0.1,both,80,61,0.975,4.5625,0.0,0.0,1.0
derm_only_for_mixed,8,0.1,all,364,153,0.9505494505494505,4.052197802197802,0.013071895424836602,0.08530805687203792,0.945054945054945
averaged,8,0.15,derm,258,73,0.9457364341085271,3.5697674418604652,0.0273972602739726,0.11891891891891893,0.9069767441860465
averaged,8,0.15,clin,26,19,0.7692307692307693,3.1538461538461537,0.0,0.0,1.0
averaged,8,0.15,both,80,61,0.9125,3.6,0.03278688524590164,0.0,0.975
averaged,8,0.15,all,364,153,0.9258241758241759,3.5467032967032965,0.026143790849673203,0.10426540284360189,0.9285714285714286
derm_only_for_mixed,8,0.15,derm,258,73,0.9224806201550387,3.1627906976744184,0.0273972602739726,0.1837837837837838,0.8604651162790697
derm_only_for_mixed,8,0.15,clin,26,19,0.7307692307692307,2.8461538461538463,0.0,0.0,1.0
derm_only_for_mixed,8,0.15,both,80,61,0.925,3.6625,0.0,0.0,1.0
derm_only_for_mixed,8,0.15,all,364,153,0.9093406593406593,3.25,0.013071895424836602,0.16113744075829384,0.9010989010989011
averaged,9,0.05,derm,252,84,0.9761904761904762,6.099206349206349,0.0,0.0,1.0
averaged,9,0.05,clin,15,11,1.0,5.8,0.0,0.0,1.0
averaged,9,0.05,both,82,51,0.9024390243902439,6.2073170731707314,0.0,0.0,1.0
averaged,9,0.05,all,349,146,0.9598853868194842,6.111747851002866,0.0,0.0,1.0
derm_only_for_mixed,9,0.05,derm,252,84,0.9603174603174603,4.900793650793651,0.0,0.005952380952380952,0.996031746031746
derm_only_for_mixed,9,0.05,clin,15,11,1.0,4.466666666666667,0.0,0.0,1.0
derm_only_for_mixed,9,0.05,both,82,51,0.926829268292683,5.353658536585366,0.0,0.0,1.0
derm_only_for_mixed,9,0.05,all,349,146,0.9541547277936963,4.988538681948424,0.0,0.0049261083743842365,0.997134670487106
averaged,9,0.1,derm,252,84,0.9444444444444444,4.2103174603174605,0.0,0.047619047619047616,0.9682539682539683
averaged,9,0.1,clin,15,11,1.0,3.8,0.0,0.0,1.0
averaged,9,0.1,both,82,51,0.8048780487804879,4.2073170731707314,0.0,0.0,1.0
averaged,9,0.1,all,349,146,0.9140401146131805,4.191977077363897,0.0,0.03940886699507389,0.9770773638968482
derm_only_for_mixed,9,0.1,derm,252,84,0.9404761904761905,3.9801587301587302,0.0,0.09523809523809523,0.9365079365079365
derm_only_for_mixed,9,0.1,clin,15,11,0.9333333333333333,3.533333333333333,0.0,0.0,1.0
derm_only_for_mixed,9,0.1,both,82,51,0.8658536585365854,4.585365853658536,0.0,0.03225806451612903,0.9878048780487805
derm_only_for_mixed,9,0.1,all,349,146,0.9226361031518625,4.103151862464183,0.0,0.08374384236453201,0.9512893982808023
averaged,9,0.15,derm,252,84,0.9206349206349206,3.5992063492063493,0.0,0.14285714285714285,0.9047619047619048
averaged,9,0.15,clin,15,11,0.9333333333333333,3.2666666666666666,0.0,0.0,1.0
averaged,9,0.15,both,82,51,0.7804878048780488,3.6097560975609757,0.0196078431372549,0.0,0.9878048780487805
averaged,9,0.15,all,349,146,0.8882521489971347,3.5873925501432664,0.00684931506849315,0.11822660098522167,0.9283667621776505
derm_only_for_mixed,9,0.15,derm,252,84,0.9166666666666666,3.3015873015873014,0.0,0.22023809523809523,0.8531746031746031
derm_only_for_mixed,9,0.15,clin,15,11,0.9333333333333333,3.2,0.0,0.0,1.0
derm_only_for_mixed,9,0.15,both,82,51,0.7804878048780488,3.6707317073170733,0.0,0.03225806451612903,0.9878048780487805
