cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
hiba,9,0.15,4,23,1.0,1.0,5.782608695652174
pad,9,0.05,1,4,1.0,1.0,6.0
pad,9,0.05,2,8,1.0,1.0,6.125
pad,9,0.05,3,6,1.0,1.0,6.166666666666667
pad,9,0.05,4,5,1.0,1.0,8.0
pad,9,0.05,6,1,1.0,1.0,8.0
pad,9,0.1,1,4,1.0,1.0,3.5
pad,9,0.1,2,8,0.875,0.875,2.75
pad,9,0.1,3,6,1.0,1.0,3.8333333333333335
pad,9,0.1,4,5,1.0,1.0,2.8
pad,9,0.1,6,1,1.0,1.0,6.0
pad,9,0.15,1,4,1.0,1.0,2.75
pad,9,0.15,2,8,0.875,0.75,2.125
pad,9,0.15,3,6,1.0,1.0,3.5
pad,9,0.15,4,5,1.0,1.0,2.2
pad,9,0.15,6,1,1.0,1.0,6.0
hiba,10,0.05,1,12,1.0,1.0,4.083333333333333
hiba,10,0.05,2,125,0.88,1.0,5.304
hiba,10,0.05,3,13,0.9230769230769231,1.0,5.461538461538462
hiba,10,0.05,4,2,1.0,1.0,6.0
hiba,10,0.1,1,12,1.0,0.9166666666666666,3.1666666666666665
hiba,10,0.1,2,125,0.856,0.992,3.912
hiba,10,0.1,3,13,0.8461538461538461,0.9230769230769231,3.5384615384615383
hiba,10,0.1,4,2,1.0,1.0,6.0
hiba,10,0.15,1,12,1.0,0.75,2.75
hiba,10,0.15,2,125,0.792,0.952,3.04
hiba,10,0.15,3,13,0.8461538461538461,0.8461538461538461,2.6923076923076925
hiba,10,0.15,4,2,1.0,1.0,5.5
pad,10,0.05,1,1,1.0,1.0,4.0
pad,10,0.05,2,6,0.8333333333333334,1.0,3.6666666666666665
pad,10,0.05,3,2,1.0,1.0,4.0
pad,10,0.05,4,2,1.0,1.0,6.0
pad,10,0.05,6,1,1.0,1.0,6.0
pad,10,0.1,1,1,1.0,1.0,3.0
pad,10,0.1,2,6,0.8333333333333334,1.0,3.3333333333333335
pad,10,0.1,3,2,1.0,1.0,3.5
pad,10,0.1,4,2,1.0,1.0,4.0
pad,10,0.1,6,1,1.0,1.0,6.0
pad,10,0.15,1,1,0.0,1.0,1.0
pad,10,0.15,2,6,0.8333333333333334,1.0,2.8333333333333335
pad,10,0.15,3,2,1.0,1.0,3.5
pad,10,0.15,4,2,1.0,1.0,4.0
pad,10,0.15,6,1,1.0,1.0,6.0
hiba,11,0.05,1,17,1.0,1.0,4.764705882352941
