cohort,draw,alpha,stratum,coverage,n_test,referral
hiba,4,0.15,sens-BCC,,74,1.0
hiba,4,0.15,cov-AK,0.7333333333333333,15,
hiba,4,0.15,sens-AK,,15,1.0
hiba,4,0.15,cov-BKL,1.0,16,
hiba,4,0.15,cov-DF,0.36363636363636365,11,
hiba,4,0.15,cov-VASC,0.625,16,
hiba,4,0.15,cov-SCC,0.7586206896551724,29,
hiba,4,0.15,sens-SCC,,29,0.9655172413793104
pad,4,0.05,cov-MEL,1.0,7,
pad,4,0.05,sens-MEL,,7,1.0
pad,4,0.05,cov-NV,1.0,15,
pad,4,0.05,cov-BCC,0.9940828402366864,169,
pad,4,0.05,sens-BCC,,169,1.0
pad,4,0.05,cov-AK,0.9824561403508771,57,
pad,4,0.05,sens-AK,,57,1.0
pad,4,0.05,cov-BKL,1.0,10,
pad,4,0.05,cov-SCC,0.9393939393939394,33,
pad,4,0.05,sens-SCC,,33,1.0
pad,4,0.1,cov-MEL,1.0,7,
pad,4,0.1,sens-MEL,,7,1.0
pad,4,0.1,cov-NV,1.0,15,
pad,4,0.1,cov-BCC,0.9704142011834319,169,
pad,4,0.1,sens-BCC,,169,1.0
pad,4,0.1,cov-AK,0.9649122807017544,57,
pad,4,0.1,sens-AK,,57,1.0
pad,4,0.1,cov-BKL,1.0,10,
pad,4,0.1,cov-SCC,0.7878787878787878,33,
pad,4,0.1,sens-SCC,,33,1.0
pad,4,0.15,cov-MEL,0.8571428571428571,7,
pad,4,0.15,sens-MEL,,7,1.0
pad,4,0.15,cov-NV,1.0,15,
pad,4,0.15,cov-BCC,0.9230769230769231,169,
pad,4,0.15,sens-BCC,,169,1.0
pad,4,0.15,cov-AK,0.9473684210526315,57,
pad,4,0.15,sens-AK,,57,1.0
pad,4,0.15,cov-BKL,0.9,10,
pad,4,0.15,cov-SCC,0.696969696969697,33,
pad,4,0.15,sens-SCC,,33,1.0
hiba,5,0.05,cov-MEL,1.0,55,
hiba,5,0.05,sens-MEL,,55,1.0
hiba,5,0.05,cov-NV,1.0,109,
hiba,5,0.05,cov-BCC,1.0,69,
hiba,5,0.05,sens-BCC,,69,1.0
hiba,5,0.05,cov-AK,1.0,14,
hiba,5,0.05,sens-AK,,14,1.0
hiba,5,0.05,cov-BKL,1.0,23,
hiba,5,0.05,cov-DF,1.0,6,
hiba,5,0.05,cov-VASC,0.9090909090909091,11,
hiba,5,0.05,cov-SCC,0.9583333333333334,24,
hiba,5,0.05,sens-SCC,,24,1.0
hiba,5,0.1,cov-MEL,0.9636363636363636,55,
hiba,5,0.1,sens-MEL,,55,0.9818181818181818
hiba,5,0.1,cov-NV,0.9908256880733946,109,
hiba,5,0.1,cov-BCC,0.9420289855072463,69,
hiba,5,0.1,sens-BCC,,69,1.0
hiba,5,0.1,cov-AK,1.0,14,
hiba,5,0.1,sens-AK,,14,1.0
hiba,5,0.1,cov-BKL,1.0,23,
hiba,5,0.1,cov-DF,0.6666666666666666,6,
hiba,5,0.1,cov-VASC,0.7272727272727273,11,
hiba,5,0.1,cov-SCC,0.9166666666666666,24,
hiba,5,0.1,sens-SCC,,24,1.0
hiba,5,0.15,cov-MEL,0.9454545454545454,55,
hiba,5,0.15,sens-MEL,,55,0.9636363636363636
hiba,5,0.15,cov-NV,0.981651376146789,109,
hiba,5,0.15,cov-BCC,0.927536231884058,69,
hiba,5,0.15,sens-BCC,,69,1.0
hiba,5,0.15,cov-AK,1.0,14,
hiba,5,0.15,sens-AK,,14,1.0
hiba,5,0.15,cov-BKL,0.9565217391304348,23,
hiba,5,0.15,cov-DF,0.5,6,
hiba,5,0.15,cov-VASC,0.7272727272727273,11,
hiba,5,0.15,cov-SCC,0.9166666666666666,24,
hiba,5,0.15,sens-SCC,,24,1.0
pad,5,0.05,cov-MEL,0.875,8,
pad,5,0.05,sens-MEL,,8,1.0
pad,5,0.05,cov-NV,1.0,9,
pad,5,0.05,cov-BCC,0.9887640449438202,178,
pad,5,0.05,sens-BCC,,178,1.0
pad,5,0.05,cov-AK,0.9245283018867925,53,
pad,5,0.05,sens-AK,,53,1.0
pad,5,0.05,cov-BKL,1.0,5,
pad,5,0.05,cov-SCC,0.875,24,
pad,5,0.05,sens-SCC,,24,1.0
pad,5,0.1,cov-MEL,0.875,8,
pad,5,0.1,sens-MEL,,8,1.0
pad,5,0.1,cov-NV,1.0,9,
pad,5,0.1,cov-BCC,0.949438202247191,178,
pad,5,0.1,sens-BCC,,178,1.0
pad,5,0.1,cov-AK,0.9056603773584906,53,
pad,5,0.1,sens-AK,,53,1.0
pad,5,0.1,cov-BKL,1.0,5,
pad,5,0.1,cov-SCC,0.75,24,
pad,5,0.1,sens-SCC,,24,1.0
pad,5,0.15,cov-MEL,0.75,8,
pad,5,0.15,sens-MEL,,8,1.0
pad,5,0.15,cov-NV,1.0,9,
pad,5,0.15,cov-BCC,0.8876404494382022,178,
pad,5,0.15,sens-BCC,,178,1.0
pad,5,0.15,cov-AK,0.8490566037735849,53,
pad,5,0.15,sens-AK,,53,1.0
pad,5,0.15,cov-BKL,1.0,5,
pad,5,0.15,cov-SCC,0.7083333333333334,24,
pad,5,0.15,sens-SCC,,24,1.0
hiba,6,0.05,cov-MEL,0.9555555555555556,45,
hiba,6,0.05,sens-MEL,,45,1.0
hiba,6,0.05,cov-NV,1.0,90,
hiba,6,0.05,cov-BCC,1.0,64,
hiba,6,0.05,sens-BCC,,64,1.0
hiba,6,0.05,cov-AK,1.0,8,
hiba,6,0.05,sens-AK,,8,1.0
hiba,6,0.05,cov-BKL,1.0,17,
hiba,6,0.05,cov-DF,0.9285714285714286,14,
hiba,6,0.05,cov-VASC,1.0,10,
hiba,6,0.05,cov-SCC,0.84,25,
hiba,6,0.05,sens-SCC,,25,1.0
hiba,6,0.1,cov-MEL,0.9111111111111111,45,
hiba,6,0.1,sens-MEL,,45,1.0
hiba,6,0.1,cov-NV,1.0,90,
hiba,6,0.1,cov-BCC,0.984375,64,
hiba,6,0.1,sens-BCC,,64,1.0
hiba,6,0.1,cov-AK,0.875,8,
hiba,6,0.1,sens-AK,,8,1.0
hiba,6,0.1,cov-BKL,1.0,17,
hiba,6,0.1,cov-DF,0.5,14,
hiba,6,0.1,cov-VASC,0.7,10,
hiba,6,0.1,cov-SCC,0.84,25,
hiba,6,0.1,sens-SCC,,25,1.0
hiba,6,0.15,cov-MEL,0.8666666666666667,45,
hiba,6,0.15,sens-MEL,,45,0.9777777777777777
hiba,6,0.15,cov-NV,0.9666666666666667,90,
hiba,6,0.15,cov-BCC,0.921875,64,
hiba,6,0.15,sens-BCC,,64,0.984375
hiba,6,0.15,cov-AK,0.75,8,
hiba,6,0.15,sens-AK,,8,1.0
hiba,6,0.15,cov-BKL,1.0,17,
hiba,6,0.15,cov-DF,0.35714285714285715,14,
hiba,6,0.15,cov-VASC,0.5,10,
hiba,6,0.15,cov-SCC,0.72,25,
hiba,6,0.15,sens-SCC,,25,0.96
pad,6,0.05,cov-MEL,0.9090909090909091,11,
pad,6,0.05,sens-MEL,,11,1.0
pad,6,0.05,cov-NV,0.9090909090909091,11,
pad,6,0.05,cov-BCC,0.9821428571428571,168,
pad,6,0.05,sens-BCC,,168,1.0
pad,6,0.05,cov-AK,0.9692307692307692,65,
pad,6,0.05,sens-AK,,65,1.0
pad,6,0.05,cov-BKL,1.0,8,
pad,6,0.05,cov-SCC,0.9393939393939394,33,
pad,6,0.05,sens-SCC,,33,1.0
pad,6,0.1,cov-MEL,0.9090909090909091,11,
pad,6,0.1,sens-MEL,,11,1.0
pad,6,0.1,cov-NV,0.8181818181818182,11,
pad,6,0.1,cov-BCC,0.9345238095238095,168,
pad,6,0.1,sens-BCC,,168,1.0
pad,6,0.1,cov-AK,0.9230769230769231,65,
pad,6,0.1,sens-AK,,65,1.0
pad,6,0.1,cov-BKL,1.0,8,
pad,6,0.1,cov-SCC,0.7878787878787878,33,
pad,6,0.1,sens-SCC,,33,1.0
pad,6,0.15,cov-MEL,0.9090909090909091,11,
pad,6,0.15,sens-MEL,,11,1.0
pad,6,0.15,cov-NV,0.8181818181818182,11,
pad,6,0.15,cov-BCC,0.8809523809523809,168,
pad,6,0.15,sens-BCC,,168,1.0
pad,6,0.15,cov-AK,0.8769230769230769,65,
pad,6,0.15,sens-AK,,65,1.0
pad,6,0.15,cov-BKL,1.0,8,
pad,6,0.15,cov-SCC,0.696969696969697,33,
pad,6,0.15,sens-SCC,,33,1.0
hiba,7,0.05,cov-MEL,1.0,48,
hiba,7,0.05,sens-MEL,,48,1.0
hiba,7,0.05,cov-NV,1.0,200,
hiba,7,0.05,cov-BCC,0.9818181818181818,55,
hiba,7,0.05,sens-BCC,,55,1.0
hiba,7,0.05,cov-AK,1.0,10,
hiba,7,0.05,sens-AK,,10,1.0
hiba,7,0.05,cov-BKL,1.0,18,
hiba,7,0.05,cov-DF,0.7647058823529411,17,
hiba,7,0.05,cov-VASC,1.0,13,
hiba,7,0.05,cov-SCC,0.9130434782608695,23,
hiba,7,0.05,sens-SCC,,23,1.0
hiba,7,0.1,cov-MEL,0.8958333333333334,48,
hiba,7,0.1,sens-MEL,,48,0.9791666666666666
hiba,7,0.1,cov-NV,0.995,200,
hiba,7,0.1,cov-BCC,0.9454545454545454,55,
hiba,7,0.1,sens-BCC,,55,1.0
hiba,7,0.1,cov-AK,0.8,10,
hiba,7,0.1,sens-AK,,10,1.0
hiba,7,0.1,cov-BKL,1.0,18,
hiba,7,0.1,cov-DF,0.5882352941176471,17,
hiba,7,0.1,cov-VASC,0.7692307692307693,13,
hiba,7,0.1,cov-SCC,0.8260869565217391,23,
hiba,7,0.1,sens-SCC,,23,1.0
hiba,7,0.15,cov-MEL,0.875,48,
hiba,7,0.15,sens-MEL,,48,0.9583333333333334
hiba,7,0.15,cov-NV,0.99,200,
hiba,7,0.15,cov-BCC,0.9090909090909091,55,
hiba,7,0.15,sens-BCC,,55,1.0
hiba,7,0.15,cov-AK,0.7,10,
hiba,7,0.15,sens-AK,,10,1.0
hiba,7,0.15,cov-BKL,1.0,18,
hiba,7,0.15,cov-DF,0.47058823529411764,17,
hiba,7,0.15,cov-VASC,0.6153846153846154,13,
hiba,7,0.15,cov-SCC,0.6956521739130435,23,
hiba,7,0.15,sens-SCC,,23,0.9565217391304348
pad,7,0.05,cov-MEL,0.9,10,
pad,7,0.05,sens-MEL,,10,1.0
pad,7,0.05,cov-NV,0.9285714285714286,14,
pad,7,0.05,cov-BCC,0.9620253164556962,158,
pad,7,0.05,sens-BCC,,158,1.0
pad,7,0.05,cov-AK,0.9166666666666666,48,
pad,7,0.05,sens-AK,,48,1.0
pad,7,0.05,cov-BKL,1.0,3,
pad,7,0.05,cov-SCC,0.9090909090909091,33,
pad,7,0.05,sens-SCC,,33,1.0
pad,7,0.1,cov-MEL,0.8,10,
pad,7,0.1,sens-MEL,,10,1.0
pad,7,0.1,cov-NV,0.8571428571428571,14,
pad,7,0.1,cov-BCC,0.9050632911392406,158,
pad,7,0.1,sens-BCC,,158,1.0
pad,7,0.1,cov-AK,0.875,48,
pad,7,0.1,sens-AK,,48,1.0
pad,7,0.1,cov-BKL,1.0,3,
pad,7,0.1,cov-SCC,0.8484848484848485,33,
pad,7,0.1,sens-SCC,,33,1.0
pad,7,0.15,cov-MEL,0.8,10,
pad,7,0.15,sens-MEL,,10,1.0
pad,7,0.15,cov-NV,0.8571428571428571,14,
pad,7,0.15,cov-BCC,0.8860759493670886,158,
pad,7,0.15,sens-BCC,,158,1.0
pad,7,0.15,cov-AK,0.8541666666666666,48,
pad,7,0.15,sens-AK,,48,1.0
pad,7,0.15,cov-BKL,1.0,3,
pad,7,0.15,cov-SCC,0.7575757575757576,33,
pad,7,0.15,sens-SCC,,33,1.0
hiba,8,0.05,cov-MEL,0.9636363636363636,55,
hiba,8,0.05,sens-MEL,,55,1.0
hiba,8,0.05,cov-NV,1.0,183,
hiba,8,0.05,cov-BCC,0.9830508474576272,59,
hiba,8,0.05,sens-BCC,,59,1.0
hiba,8,0.05,cov-AK,0.9411764705882353,17,
hiba,8,0.05,sens-AK,,17,1.0
hiba,8,0.05,cov-BKL,1.0,15,
hiba,8,0.05,cov-DF,0.6666666666666666,6,
hiba,8,0.05,cov-VASC,0.8571428571428571,7,
hiba,8,0.05,cov-SCC,0.9090909090909091,22,
hiba,8,0.05,sens-SCC,,22,1.0
hiba,8,0.1,cov-MEL,0.9272727272727272,55,
hiba,8,0.1,sens-MEL,,55,0.9636363636363636
hiba,8,0.1,cov-NV,0.994535519125683,183,
hiba,8,0.1,cov-BCC,0.9830508474576272,59,
hiba,8,0.1,sens-BCC,,59,1.0
hiba,8,0.1,cov-AK,0.9411764705882353,17,
hiba,8,0.1,sens-AK,,17,1.0
hiba,8,0.1,cov-BKL,1.0,15,
hiba,8,0.1,cov-DF,0.5,6,
hiba,8,0.1,cov-VASC,0.42857142857142855,7,
hiba,8,0.1,cov-SCC,0.9090909090909091,22,
