cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test,n_test_pat
pad,4,0.1,M2,157,False,0.9182389937106918,0.9270833333333333,0.0,1.0,1.0,3.7044025157232703,159,112.0
pad,4,0.1,M3,75,False,0.927536231884058,0.9,0.0,1.0,1.0,3.710144927536232,69,45.0
pad,4,0.1,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.555555555555555,9,9.0
pad,4,0.1,M5,2,True,1.0,1.0,0.0,1.0,1.0,5.333333333333333,3,3.0
pad,4,0.1,marginal-M1,280,False,0.896551724137931,,0.0,1.0,,3.1724137931034484,29,
pad,4,0.1,marginal-M2,280,False,0.8805031446540881,,0.0,1.0,,3.1446540880503147,159,
pad,4,0.1,marginal-M3,280,False,0.927536231884058,,0.0,1.0,,3.5942028985507246,69,
pad,4,0.1,marginal-M4,280,False,1.0,,0.0,1.0,,4.111111111111111,9,
pad,4,0.1,marginal-M5,280,False,1.0,,0.0,1.0,,3.6666666666666665,3,
pad,4,0.15,B,23,False,1.0,1.0,,0.875,0.875,3.25,16,16.0
