cohort,draw,top1,bal_acc,macro_f1,auc_ovr,n
pad,69,0.6109215017064846,0.5650098084022741,0.40180513973768855,0.8499985304892851,293
hiba,70,0.5913705583756346,0.39222029068658176,0.37040704616468556,0.7861745787569476,394
pad,70,0.604982206405694,0.5715338487461591,0.3876258250955933,0.8658389901825753,281
hiba,71,0.6361323155216285,0.44944872683950354,0.44122074131644984,0.8539110434375567,393
pad,71,0.5431654676258992,0.49115571053198864,0.3512766116379832,0.8188862497606483,278
hiba,72,0.5880597014925373,0.4642292782155852,0.4613912331893787,0.8536809681336643,335
pad,72,0.55,0.5465476243206958,0.38257443128766655,0.7951581469666422,280
hiba,73,0.6162790697674418,0.44745884141443354,0.45557727959103034,0.8537727613556527,344
pad,73,0.5812274368231047,0.5473524938576899,0.3861397563237785,0.8306291180182553,277
hiba,74,0.5342857142857143,0.4347611406108943,0.4453449235752607,0.845990836966287,350
pad,74,0.5523465703971119,0.4763457005392489,0.32097634097640904,0.8232363777875338,277
hiba,75,0.5231788079470199,0.35418971230538393,0.35920811485031634,0.7541609992115812,302
pad,75,0.5693950177935944,0.5672800774330917,0.3874366177469285,0.8547653400368359,281
hiba,76,0.5365079365079365,0.398761361591916,0.4035150189681399,0.8462321914363005,315
pad,76,0.568904593639576,0.5446192542196981,0.33045812008195774,0.845424670367939,283
hiba,77,0.5468277945619335,0.40739484519947955,0.39106568145097265,0.8110104047220901,331
pad,77,0.5871212121212122,0.5181356752246015,0.35528594212804737,0.8359500021136018,264
hiba,78,0.6153846153846154,0.4495914556072974,0.4393671577045326,0.842468171310716,377
pad,78,0.5579710144927537,0.42636386877111637,0.2975624831380868,0.8397806443420323,276
hiba,79,0.5628571428571428,0.4604358301852963,0.44132022387836345,0.8175779632953146,350
pad,79,0.5324675324675324,0.4700558917299349,0.3235414537835276,0.8321229623596892,308
hiba,80,0.5646437994722955,0.4096248108687429,0.374071954199933,0.8318081573310672,379
pad,80,0.5090252707581228,0.5006265973530082,0.3159010506272027,0.8235236119804852,277
hiba,81,0.6331521739130435,0.417723510196849,0.4203525863575392,0.8183060514370699,368
pad,81,0.6091549295774648,0.523212521565815,0.3645021296189709,0.853764962091101,284
hiba,82,0.54375,0.41252237743884,0.4073595456112789,0.8072857877936985,320
pad,82,0.5743243243243243,0.6236689942198417,0.4187609491957318,0.8588406148558728,296
hiba,83,0.5490196078431373,0.4566743819115736,0.4553374310044713,0.8490481013538647,306
pad,83,0.5563636363636364,0.4611317264511528,0.31830314728950393,0.8172484137322044,275
