cohort,draw,cls,n,f1,auc
pad,23,VASC,0,,
pad,23,SCC,37,0.2702702702702703,0.6869757688723206
hiba,24,MEL,39,0.5142857142857142,0.8401320901320901
hiba,24,NV,134,0.6557377049180327,0.8271659454208248
hiba,24,BCC,54,0.58,0.8806336456938867
hiba,24,AK,13,0.1875,0.689920424403183
hiba,24,BKL,13,0.16,0.7246684350132626
hiba,24,DF,9,0.14285714285714285,0.6126228269085412
hiba,24,VASC,12,0.4,0.7442726231386025
hiba,24,SCC,29,0.2857142857142857,0.7869368235590234
pad,24,MEL,13,0.45454545454545453,0.9108262108262108
pad,24,NV,14,0.5384615384615384,0.9684014869888475
pad,24,BCC,167,0.7337662337662337,0.8079444559157548
pad,24,AK,53,0.5826771653543307,0.8765791632485644
pad,24,BKL,8,0.46153846153846156,0.9768181818181818
pad,24,DF,0,,
pad,24,VASC,0,,
pad,24,SCC,28,0.21052631578947367,0.6707282913165267
hiba,25,MEL,46,0.47619047619047616,0.8086798991808444
hiba,25,NV,144,0.6586345381526104,0.8536594881398252
hiba,25,BCC,58,0.660377358490566,0.9082419017763845
hiba,25,AK,7,0.16666666666666666,0.7061224489795919
hiba,25,BKL,28,0.23423423423423423,0.6609572400388727
hiba,25,DF,8,0.3333333333333333,0.758359872611465
hiba,25,VASC,9,0.5,0.7458288959886404
hiba,25,SCC,22,0.2608695652173913,0.8765151515151515
pad,25,MEL,14,0.3333333333333333,0.9156094870380586
pad,25,NV,12,0.6666666666666666,0.9786079182630907
pad,25,BCC,159,0.6691176470588235,0.7757640957740263
pad,25,AK,51,0.5,0.7922628510863804
pad,25,BKL,4,0.25,0.8485130111524163
pad,25,DF,0,,
pad,25,VASC,0,,
pad,25,SCC,33,0.19444444444444445,0.5975378787878787
hiba,26,MEL,49,0.5116279069767442,0.8304288007337767
hiba,26,NV,195,0.7595628415300546,0.8730647130647132
hiba,26,BCC,68,0.6016260162601627,0.9020771513353115
hiba,26,AK,13,0.06060606060606061,0.6960361067503925
hiba,26,BKL,24,0.2616822429906542,0.739938757655293
hiba,26,DF,16,0.24,0.7434125964010282
hiba,26,VASC,13,0.47058823529411764,0.7344976452119311
hiba,26,SCC,27,0.18867924528301888,0.8603762492651381
pad,26,MEL,16,0.3,0.9209692028985508
pad,26,NV,11,0.5217391304347826,0.9731478485926884
pad,26,BCC,177,0.7047619047619048,0.7827069516089413
pad,26,AK,51,0.5079365079365079,0.8066878203563583
pad,26,BKL,5,0.2727272727272727,0.9588850174216028
pad,26,DF,0,,
pad,26,VASC,0,,
pad,26,SCC,32,0.1794871794871795,0.6475961538461539
hiba,27,MEL,46,0.5,0.8121689863283656
hiba,27,NV,209,0.7525773195876289,0.8552505666079073
hiba,27,BCC,52,0.6262626262626263,0.9286743515850144
hiba,27,AK,14,0.16666666666666666,0.7074211502782931
hiba,27,BKL,17,0.1553398058252427,0.7274407145056976
hiba,27,DF,9,0.16666666666666666,0.6908831908831908
hiba,27,VASC,18,0.6666666666666666,0.8544765237678624
