draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
11,0.05,both,92,61,0.9130434782608695,6.108695652173913,0.0,0.0,1.0
11,0.05,all,320,158,0.9625,5.925,0.0,0.0,1.0
11,0.1,derm,216,86,0.9490740740740741,4.263888888888889,0.0,0.09230769230769231,0.9444444444444444
11,0.1,clin,12,11,0.75,4.083333333333333,0.0,0.0,1.0
11,0.1,both,92,61,0.8586956521739131,4.456521739130435,0.0,0.0,1.0
11,0.1,all,320,158,0.915625,4.3125,0.0,0.07407407407407407,0.9625
11,0.15,derm,216,86,0.9166666666666666,3.4814814814814814,0.0,0.17692307692307693,0.8935185185185185
11,0.15,clin,12,11,0.75,3.3333333333333335,0.09090909090909091,0.0,0.9166666666666666
11,0.15,both,92,61,0.8260869565217391,3.760869565217391,0.01639344262295082,0.0,0.9891304347826086
11,0.15,all,320,158,0.884375,3.55625,0.012658227848101266,0.1419753086419753,0.921875
12,0.05,derm,252,78,0.9880952380952381,5.591269841269841,0.0,0.0,1.0
12,0.05,clin,15,12,0.8666666666666667,5.8,0.0,0.0,1.0
12,0.05,both,83,42,0.9879518072289156,6.036144578313253,0.0,0.0,1.0
12,0.05,all,350,132,0.9828571428571429,5.7057142857142855,0.0,0.0,1.0
12,0.1,derm,252,78,0.9603174603174603,4.488095238095238,0.01282051282051282,0.011494252873563218,0.9880952380952381
12,0.1,clin,15,12,0.8666666666666667,4.466666666666667,0.0,0.0,1.0
12,0.1,both,83,42,0.927710843373494,4.662650602409639,0.0,0.0,1.0
12,0.1,all,350,132,0.9485714285714286,4.5285714285714285,0.007575757575757576,0.009174311926605505,0.9914285714285714
12,0.15,derm,252,78,0.9365079365079365,3.3174603174603177,0.02564102564102564,0.20114942528735633,0.8531746031746031
12,0.15,clin,15,12,0.7333333333333333,3.4,0.0,0.0,1.0
12,0.15,both,83,42,0.9156626506024096,3.710843373493976,0.0,0.0,1.0
12,0.15,all,350,132,0.9228571428571428,3.414285714285714,0.015151515151515152,0.16055045871559634,0.8942857142857142
13,0.05,derm,160,84,1.0,6.4875,0.0,0.0,1.0
13,0.05,clin,20,15,0.9,6.55,0.0,0.0,1.0
13,0.05,both,67,46,0.9402985074626866,6.253731343283582,0.0,0.0,1.0
13,0.05,all,247,145,0.9757085020242915,6.42914979757085,0.0,0.0,1.0
13,0.1,derm,160,84,0.9375,4.48125,0.0,0.02631578947368421,0.9875
13,0.1,clin,20,15,0.85,4.1,0.0,0.0,1.0
13,0.1,both,67,46,0.835820895522388,4.268656716417911,0.0,0.0,1.0
13,0.1,all,247,145,0.902834008097166,4.392712550607287,0.0,0.0196078431372549,0.9919028340080972
13,0.15,derm,160,84,0.9,3.89375,0.011904761904761904,0.10526315789473684,0.94375
13,0.15,clin,20,15,0.7,3.0,0.06666666666666667,0.0,0.95
13,0.15,both,67,46,0.7910447761194029,3.5522388059701493,0.021739130434782608,0.0,0.9850746268656716
13,0.15,all,247,145,0.854251012145749,3.7287449392712553,0.020689655172413793,0.0784313725490196,0.9554655870445344
14,0.05,derm,246,93,0.991869918699187,5.08130081300813,0.0,0.0,1.0
14,0.05,clin,11,8,0.8181818181818182,4.545454545454546,0.0,0.0,1.0
14,0.05,both,97,57,0.8762886597938144,5.412371134020619,0.0,0.0,1.0
14,0.05,all,354,158,0.9548022598870056,5.155367231638418,0.0,0.0,1.0
14,0.1,derm,246,93,0.9349593495934959,3.8089430894308944,0.021505376344086023,0.09803921568627451,0.9308943089430894
14,0.1,clin,11,8,0.7272727272727273,3.3636363636363638,0.0,0.0,1.0
14,0.1,both,97,57,0.845360824742268,4.247422680412371,0.0,0.0,1.0
14,0.1,all,354,158,0.903954802259887,3.9152542372881354,0.012658227848101266,0.07653061224489796,0.9519774011299436
14,0.15,derm,246,93,0.9186991869918699,2.951219512195122,0.043010752688172046,0.3202614379084967,0.7845528455284553
14,0.15,clin,11,8,0.5454545454545454,2.3636363636363638,0.0,0.0,1.0
14,0.15,both,97,57,0.8041237113402062,3.5051546391752577,0.017543859649122806,0.05,0.9690721649484536
