cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,4,0.15,M1,22,False,0.9629629629629629,0.9705882352941176,0.0,1.0,1.0,3.074074074074074,27
pad,4,0.15,M2,148,False,0.8608695652173913,0.8655913978494624,0.02608695652173913,0.9739130434782609,0.967741935483871,2.8347826086956522,115
pad,4,0.15,M3,59,False,0.9285714285714286,0.9206349206349207,0.0,1.0,1.0,3.0535714285714284,56
pad,4,0.15,M4,8,False,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,3.3333333333333335,6
pad,4,0.15,M5,3,True,,,,,,,0
hiba,5,0.05,B,191,False,0.9877300613496932,0.9866666666666667,,1.0,1.0,6.3128834355828225,163
hiba,5,0.05,M1,19,False,1.0,1.0,0.0,1.0,1.0,6.428571428571429,21
hiba,5,0.05,M2,215,False,0.9905660377358491,0.9939759036144579,0.0,1.0,1.0,6.452830188679245,106
hiba,5,0.05,M3,16,True,1.0,1.0,0.0,1.0,1.0,7.0476190476190474,21
hiba,5,0.1,B,191,False,0.950920245398773,0.928888888888889,,0.9386503067484663,0.968,3.8773006134969323,163
hiba,5,0.1,M1,19,False,1.0,1.0,0.0,1.0,1.0,5.095238095238095,21
hiba,5,0.1,M2,215,False,0.9339622641509434,0.9367469879518072,0.009433962264150943,0.9905660377358491,0.9879518072289156,4.849056603773585,106
hiba,5,0.1,M3,16,False,0.9523809523809523,0.9333333333333333,0.0,1.0,1.0,4.714285714285714,21
hiba,5,0.15,B,191,False,0.9447852760736196,0.9155555555555556,,0.8773006134969326,0.9208888888888889,3.245398773006135,163
hiba,5,0.15,M1,19,False,1.0,1.0,0.0,1.0,1.0,4.285714285714286,21
hiba,5,0.15,M2,215,False,0.9056603773584906,0.9156626506024096,0.018867924528301886,0.9811320754716981,0.9759036144578314,4.216981132075472,106
hiba,5,0.15,M3,16,False,0.9523809523809523,0.9333333333333333,0.0,1.0,1.0,4.523809523809524,21
pad,5,0.05,B,90,False,0.96,0.9666666666666668,,0.9733333333333334,0.9757575757575757,3.8133333333333335,75
pad,5,0.05,M1,26,False,0.95,0.9615384615384616,0.0,1.0,1.0,4.2,20
pad,5,0.05,M2,148,False,0.957983193277311,0.9623655913978495,0.0,1.0,1.0,4.302521008403361,119
pad,5,0.05,M3,58,False,0.9824561403508771,0.9767441860465116,0.0,1.0,1.0,4.105263157894737,57
pad,5,0.05,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.166666666666667,6
pad,5,0.05,M5,1,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,5,0.1,B,90,False,0.92,0.9212121212121213,,0.96,0.9696969696969697,3.4266666666666667,75
pad,5,0.1,M1,26,False,0.95,0.9615384615384616,0.0,1.0,1.0,3.45,20
pad,5,0.1,M2,148,False,0.9243697478991597,0.9193548387096774,0.008403361344537815,0.9915966386554622,0.989247311827957,3.563025210084034,119
pad,5,0.1,M3,58,False,0.9649122807017544,0.9689922480620156,0.0,1.0,1.0,3.4035087719298245,57
pad,5,0.1,M4,8,True,1.0,1.0,0.0,1.0,1.0,4.5,6
pad,5,0.1,M5,1,True,1.0,1.0,0.0,1.0,1.0,5.0,2
pad,5,0.15,B,90,False,0.88,0.8969696969696969,,0.9333333333333333,0.9333333333333332,2.933333333333333,75
pad,5,0.15,M1,26,False,0.9,0.8846153846153846,0.0,1.0,1.0,2.7,20
pad,5,0.15,M2,148,False,0.865546218487395,0.8727598566308242,0.01680672268907563,0.9831932773109243,0.9838709677419355,3.1092436974789917,119
pad,5,0.15,M3,58,False,0.8947368421052632,0.8953488372093024,0.017543859649122806,0.9824561403508771,0.9767441860465116,3.0350877192982457,57
pad,5,0.15,M4,8,False,1.0,1.0,0.0,1.0,1.0,3.3333333333333335,6
pad,5,0.15,M5,1,True,1.0,1.0,0.0,1.0,1.0,5.0,2
hiba,6,0.05,B,186,False,0.9856115107913669,0.98125,,1.0,1.0,6.0215827338129495,139
hiba,6,0.05,M1,27,False,1.0,1.0,0.0,1.0,1.0,5.833333333333333,12
hiba,6,0.05,M2,206,False,0.9464285714285714,0.9347826086956522,0.0,1.0,1.0,6.5625,112
hiba,6,0.05,M3,22,False,1.0,1.0,0.0,1.0,1.0,6.5,10
hiba,6,0.1,B,186,False,0.9280575539568345,0.9229166666666666,,0.9712230215827338,0.9704166666666666,3.9568345323741005,139
hiba,6,0.1,M1,27,False,0.8333333333333334,0.8888888888888888,0.0,1.0,1.0,4.166666666666667,12
hiba,6,0.1,M2,206,False,0.9285714285714286,0.9130434782608695,0.0,1.0,1.0,4.857142857142857,112
