cohort,draw,alpha,scheme,miss_cert,miss_all,worst_group_miss,any_group_over,release,release_pw,set_size,coverage,any_enforced_degenerate,n_test,n_mal,n_ben
hiba,1,0.15,temp,0.14705882352941177,0.14705882352941177,0.18181818181818182,True,0.7605633802816901,0.6361838161838163,,,False,349,136,213
hiba,1,0.2,mondrian,0.014705882352941176,0.014705882352941176,0.018867924528301886,False,0.1784037558685446,0.13966033966033964,3.1146131805157595,0.8939828080229226,False,349,136,213
hiba,1,0.2,marginal,0.007352941176470588,0.007352941176470588,0.009433962264150943,False,0.22065727699530516,0.1739022881880025,2.561604584527221,0.8452722063037249,False,349,136,213
hiba,1,0.2,softmax,0.23529411764705882,0.23529411764705882,0.3157894736842105,True,0.8309859154929577,0.7372227772227773,,,False,349,136,213
hiba,1,0.2,temp,0.19117647058823528,0.19117647058823528,0.2631578947368421,True,0.8262910798122066,0.6938694638694638,,,False,349,136,213
hiba,1,0.25,mondrian,0.022058823529411766,0.022058823529411766,0.09090909090909091,False,0.22065727699530516,0.18596403596403596,2.7449856733524354,0.8567335243553008,False,349,136,213
hiba,1,0.25,marginal,0.03676470588235294,0.03676470588235294,0.09090909090909091,False,0.29107981220657275,0.23388849245992102,2.2836676217765044,0.8080229226361032,False,349,136,213
hiba,1,0.25,softmax,0.25735294117647056,0.25735294117647056,0.3157894736842105,True,0.8779342723004695,0.7961205461205462,,,False,349,136,213
hiba,1,0.25,temp,0.25735294117647056,0.25735294117647056,0.3157894736842105,True,0.8779342723004695,0.7961205461205462,,,False,349,136,213
hiba,1,0.3,mondrian,0.04411764705882353,0.04411764705882353,0.09090909090909091,False,0.25821596244131456,0.23684981684981682,2.3810888252148996,0.7793696275071633,False,349,136,213
hiba,1,0.3,marginal,0.03676470588235294,0.03676470588235294,0.09090909090909091,False,0.36619718309859156,0.2634731934731934,2.054441260744986,0.7449856733524355,False,349,136,213
hiba,1,0.3,softmax,0.25735294117647056,0.25735294117647056,0.3157894736842105,True,0.8779342723004695,0.7961205461205462,,,False,349,136,213
hiba,1,0.3,temp,0.25735294117647056,0.25735294117647056,0.3157894736842105,True,0.8779342723004695,0.7961205461205462,,,False,349,136,213
pad,1,0.02,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.542857142857143,0.9857142857142858,True,280,260,20
pad,1,0.02,marginal,0.0,0.0,0.0,False,0.0,0.0,4.7785714285714285,0.9857142857142858,False,280,260,20
pad,1,0.02,softmax,0.012195121951219513,0.015384615384615385,0.013333333333333334,False,0.25,0.23529411764705882,,,False,280,260,20
pad,1,0.02,temp,0.012195121951219513,0.011538461538461539,0.013333333333333334,False,0.25,0.20588235294117646,,,False,280,260,20
pad,1,0.03,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.135714285714286,0.9678571428571429,True,280,260,20
pad,1,0.03,marginal,0.0,0.0,0.0,False,0.0,0.0,4.25,0.9678571428571429,False,280,260,20
pad,1,0.03,softmax,0.02032520325203252,0.023076923076923078,0.02666666666666667,False,0.35,0.29411764705882354,,,False,280,260,20
pad,1,0.03,temp,0.016260162601626018,0.019230769230769232,0.02,False,0.35,0.29411764705882354,,,False,280,260,20
pad,1,0.04,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.064285714285714,0.9678571428571429,True,280,260,20
pad,1,0.04,marginal,0.0,0.0,0.0,False,0.0,0.0,4.060714285714286,0.9607142857142857,False,280,260,20
pad,1,0.04,softmax,0.032520325203252036,0.03461538461538462,0.04,False,0.45,0.4117647058823529,,,False,280,260,20
pad,1,0.04,temp,0.024390243902439025,0.026923076923076925,0.03333333333333333,False,0.5,0.47058823529411764,,,False,280,260,20
pad,1,0.05,mondrian,0.0,0.0,0.0,False,0.0,0.0,4.078571428571428,0.9642857142857143,False,280,260,20
pad,1,0.05,marginal,0.0,0.0,0.0,False,0.0,0.0,3.8714285714285714,0.9428571428571428,False,280,260,20
pad,1,0.05,softmax,0.044715447154471545,0.046153846153846156,0.05333333333333334,True,0.5,0.47058823529411764,,,False,280,260,20
pad,1,0.05,temp,0.044715447154471545,0.046153846153846156,0.05333333333333334,True,0.55,0.5294117647058824,,,False,280,260,20
pad,1,0.06,mondrian,0.0,0.0,0.0,False,0.0,0.0,3.9178571428571427,0.9285714285714286,False,280,260,20
pad,1,0.06,marginal,0.0,0.0,0.0,False,0.0,0.0,3.767857142857143,0.9357142857142857,False,280,260,20
pad,1,0.06,softmax,0.04878048780487805,0.05,0.06,False,0.6,0.5882352941176471,,,False,280,260,20
pad,1,0.06,temp,0.04878048780487805,0.05,0.06,False,0.6,0.5882352941176471,,,False,280,260,20
pad,1,0.08,mondrian,0.0,0.0,0.0,False,0.0,0.0,3.8607142857142858,0.9214285714285714,False,280,260,20
pad,1,0.08,marginal,0.0,0.0,0.0,False,0.0,0.0,3.4464285714285716,0.9142857142857143,False,280,260,20
pad,1,0.08,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.08,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.1,mondrian,0.0,0.0,0.0,False,0.0,0.0,3.3035714285714284,0.9178571428571428,False,280,260,20
pad,1,0.1,marginal,0.0,0.0,0.0,False,0.0,0.0,3.2,0.8821428571428571,False,280,260,20
pad,1,0.1,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.1,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.12,mondrian,0.0,0.0,0.0,False,0.0,0.0,3.15,0.8964285714285715,False,280,260,20
pad,1,0.12,marginal,0.0,0.0,0.0,False,0.0,0.0,3.0785714285714287,0.875,False,280,260,20
pad,1,0.12,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.12,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.15,mondrian,0.0,0.0,0.0,False,0.0,0.0,2.8714285714285714,0.8571428571428571,False,280,260,20
pad,1,0.15,marginal,0.0,0.0,0.0,False,0.0,0.0,2.817857142857143,0.8464285714285714,False,280,260,20
pad,1,0.15,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.15,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
