cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
pad,2,temp,0.15,2,0.0,3.756567006065633,0.05714285714285714,140.0,,
pad,2,temp,0.15,3,0.0,3.756567006065633,0.036585365853658534,82.0,,
pad,2,temp,0.15,4,0.0,3.756567006065633,0.2,5.0,,
pad,2,temp,0.15,5,0.0,3.756567006065633,0.0,2.0,,
pad,2,temp,0.15,0,0.0,3.756567006065633,,,0.7727272727272727,22.0
hiba,3,softmax,0.05,1,0.9830216461227284,1.0,0.0,11.0,,
hiba,3,softmax,0.05,2,0.9830216461227284,1.0,0.06766917293233082,133.0,,
hiba,3,softmax,0.05,3,0.9830216461227284,1.0,0.0,10.0,,
hiba,3,softmax,0.05,0,0.9830216461227284,1.0,,,0.375,200.0
hiba,3,softmax,0.1,1,0.8937617858160559,1.0,0.0,11.0,,
hiba,3,softmax,0.1,2,0.8937617858160559,1.0,0.12781954887218044,133.0,,
hiba,3,softmax,0.1,3,0.8937617858160559,1.0,0.1,10.0,,
hiba,3,softmax,0.1,0,0.8937617858160559,1.0,,,0.61,200.0
hiba,3,softmax,0.15,1,0.716957992277605,1.0,0.0,11.0,,
hiba,3,softmax,0.15,2,0.716957992277605,1.0,0.19548872180451127,133.0,,
hiba,3,softmax,0.15,3,0.716957992277605,1.0,0.1,10.0,,
hiba,3,softmax,0.15,0,0.716957992277605,1.0,,,0.76,200.0
hiba,3,temp,0.05,1,0.5073166268575112,4.431632164656331,0.0,11.0,,
hiba,3,temp,0.05,2,0.5073166268575112,4.431632164656331,0.06766917293233082,133.0,,
hiba,3,temp,0.05,3,0.5073166268575112,4.431632164656331,0.0,10.0,,
hiba,3,temp,0.05,0,0.5073166268575112,4.431632164656331,,,0.52,200.0
hiba,3,temp,0.1,1,0.40143837364130985,4.431632164656331,0.0,11.0,,
hiba,3,temp,0.1,2,0.40143837364130985,4.431632164656331,0.12030075187969924,133.0,,
hiba,3,temp,0.1,3,0.40143837364130985,4.431632164656331,0.0,10.0,,
hiba,3,temp,0.1,0,0.40143837364130985,4.431632164656331,,,0.695,200.0
hiba,3,temp,0.15,1,0.3466233562269838,4.431632164656331,0.09090909090909091,11.0,,
hiba,3,temp,0.15,2,0.3466233562269838,4.431632164656331,0.18796992481203006,133.0,,
hiba,3,temp,0.15,3,0.3466233562269838,4.431632164656331,0.1,10.0,,
hiba,3,temp,0.15,0,0.3466233562269838,4.431632164656331,,,0.785,200.0
pad,3,softmax,0.05,1,0.4953659012397958,1.0,0.0,26.0,,
pad,3,softmax,0.05,2,0.4953659012397958,1.0,0.054945054945054944,182.0,,
