cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,2,0.05,M3,74.0,False,1.0,1.0,0.0,1.0,1.0,4.263888888888889,72
pad,2,0.05,M4,10.0,True,1.0,1.0,0.0,1.0,1.0,5.285714285714286,7
pad,2,0.05,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,2,0.05,cov-MEL,,,0.8,,,,,,10
pad,2,0.05,sens-MEL,,,,,,1.0,,,10
pad,2,0.05,cov-NV,,,0.8888888888888888,,,,,,9
pad,2,0.05,cov-BCC,,,0.988950276243094,,,,,,181
pad,2,0.05,sens-BCC,,,,,,1.0,,,181
pad,2,0.05,cov-AK,,,0.95,,,,,,60
pad,2,0.05,sens-AK,,,,,,1.0,,,60
pad,2,0.05,cov-BKL,,,1.0,,,,,,7
pad,2,0.05,cov-SCC,,,0.8378378378378378,,,,,,37
pad,2,0.05,sens-SCC,,,,,,1.0,,,37
pad,2,0.1,B,26.0,False,0.9375,0.9230769230769231,,1.0,1.0,3.1875,16
pad,2,0.1,M1,24.0,False,1.0,1.0,0.0,1.0,1.0,3.2758620689655173,29
pad,2,0.1,M2,153.0,False,0.8707865168539326,0.8838259441707719,0.0,1.0,1.0,2.848314606741573,178
pad,2,0.1,M3,74.0,False,1.0,1.0,0.0,1.0,1.0,3.1944444444444446,72
pad,2,0.1,M4,10.0,False,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,4.0,7
pad,2,0.1,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.0,2
pad,2,0.1,cov-MEL,,,0.7,,,,,,10
pad,2,0.1,sens-MEL,,,,,,1.0,,,10
pad,2,0.1,cov-NV,,,0.8888888888888888,,,,,,9
pad,2,0.1,cov-BCC,,,0.9613259668508287,,,,,,181
pad,2,0.1,sens-BCC,,,,,,1.0,,,181
pad,2,0.1,cov-AK,,,0.9333333333333333,,,,,,60
pad,2,0.1,sens-AK,,,,,,1.0,,,60
pad,2,0.1,cov-BKL,,,1.0,,,,,,7
pad,2,0.1,cov-SCC,,,0.7297297297297297,,,,,,37
pad,2,0.1,sens-SCC,,,,,,1.0,,,37
pad,2,0.15,B,26.0,False,0.875,0.8461538461538461,,1.0,1.0,2.5625,16
pad,2,0.15,M1,24.0,False,0.9310344827586207,0.96875,0.0,1.0,1.0,2.689655172413793,29
pad,2,0.15,M2,153.0,False,0.797752808988764,0.8167077175697866,0.0,1.0,1.0,2.151685393258427,178
pad,2,0.15,M3,74.0,False,0.9444444444444444,0.9492753623188407,0.0,1.0,1.0,2.3472222222222223,72
pad,2,0.15,M4,10.0,False,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,3.5714285714285716,7
pad,2,0.15,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,4.5,2
pad,2,0.15,cov-MEL,,,0.6,,,,,,10
pad,2,0.15,sens-MEL,,,,,,1.0,,,10
pad,2,0.15,cov-NV,,,0.7777777777777778,,,,,,9
pad,2,0.15,cov-BCC,,,0.8950276243093923,,,,,,181
pad,2,0.15,sens-BCC,,,,,,1.0,,,181
pad,2,0.15,cov-AK,,,0.9,,,,,,60
pad,2,0.15,sens-AK,,,,,,1.0,,,60
pad,2,0.15,cov-BKL,,,1.0,,,,,,7
pad,2,0.15,cov-SCC,,,0.6216216216216216,,,,,,37
pad,2,0.15,sens-SCC,,,,,,1.0,,,37
hiba,3,0.05,B,162.0,False,0.9166666666666666,0.8651315789473685,,1.0,1.0,5.277777777777778,180
hiba,3,0.05,M1,27.0,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,4.666666666666667,12
hiba,3,0.05,M2,221.0,False,0.9212598425196851,0.9228723404255319,0.0,1.0,1.0,5.3700787401574805,127
hiba,3,0.05,M3,24.0,False,1.0,1.0,0.0,1.0,1.0,5.545454545454546,11
hiba,3,0.05,cov-MEL,,,1.0,,,,,,49
hiba,3,0.05,sens-MEL,,,,,,1.0,,,49
hiba,3,0.05,cov-NV,,,0.9924242424242424,,,,,,132
hiba,3,0.05,cov-BCC,,,0.9841269841269841,,,,,,63
hiba,3,0.05,sens-BCC,,,,,,1.0,,,63
hiba,3,0.05,cov-AK,,,0.6428571428571429,,,,,,14
hiba,3,0.05,sens-AK,,,,,,1.0,,,14
hiba,3,0.05,cov-BKL,,,1.0,,,,,,15
hiba,3,0.05,cov-DF,,,0.4375,,,,,,16
hiba,3,0.05,cov-VASC,,,0.7058823529411765,,,,,,17
hiba,3,0.05,cov-SCC,,,0.7916666666666666,,,,,,24
hiba,3,0.05,sens-SCC,,,,,,1.0,,,24
hiba,3,0.1,B,162.0,False,0.8833333333333333,0.8026315789473685,,1.0,1.0,3.838888888888889,180
hiba,3,0.1,M1,27.0,False,0.75,0.738095238095238,0.0,1.0,1.0,3.75,12
hiba,3,0.1,M2,221.0,False,0.8818897637795275,0.8861702127659574,0.0,1.0,1.0,3.779527559055118,127
hiba,3,0.1,M3,24.0,False,1.0,1.0,0.0,1.0,1.0,4.545454545454546,11
hiba,3,0.1,cov-MEL,,,1.0,,,,,,49
hiba,3,0.1,sens-MEL,,,,,,1.0,,,49
hiba,3,0.1,cov-NV,,,0.9772727272727273,,,,,,132
hiba,3,0.1,cov-BCC,,,0.9365079365079365,,,,,,63
hiba,3,0.1,sens-BCC,,,,,,1.0,,,63
hiba,3,0.1,cov-AK,,,0.5714285714285714,,,,,,14
hiba,3,0.1,sens-AK,,,,,,1.0,,,14
hiba,3,0.1,cov-BKL,,,1.0,,,,,,15
hiba,3,0.1,cov-DF,,,0.25,,,,,,16
hiba,3,0.1,cov-VASC,,,0.6470588235294118,,,,,,17
hiba,3,0.1,cov-SCC,,,0.6666666666666666,,,,,,24
hiba,3,0.1,sens-SCC,,,,,,1.0,,,24
hiba,3,0.15,B,162.0,False,0.8611111111111112,0.756578947368421,,1.0,1.0,3.2333333333333334,180
hiba,3,0.15,M1,27.0,False,0.6666666666666666,0.5952380952380951,0.0,1.0,1.0,2.8333333333333335,12
hiba,3,0.15,M2,221.0,False,0.8188976377952756,0.8365248226950354,0.0,1.0,1.0,3.141732283464567,127
hiba,3,0.15,M3,24.0,False,1.0,1.0,0.0,1.0,1.0,3.5454545454545454,11
hiba,3,0.15,cov-MEL,,,0.9591836734693877,,,,,,49
hiba,3,0.15,sens-MEL,,,,,,1.0,,,49
hiba,3,0.15,cov-NV,,,0.9696969696969697,,,,,,132
hiba,3,0.15,cov-BCC,,,0.873015873015873,,,,,,63
hiba,3,0.15,sens-BCC,,,,,,1.0,,,63
hiba,3,0.15,cov-AK,,,0.5,,,,,,14
hiba,3,0.15,sens-AK,,,,,,1.0,,,14
hiba,3,0.15,cov-BKL,,,0.8,,,,,,15
hiba,3,0.15,cov-DF,,,0.25,,,,,,16
hiba,3,0.15,cov-VASC,,,0.6470588235294118,,,,,,17
hiba,3,0.15,cov-SCC,,,0.5833333333333334,,,,,,24
hiba,3,0.15,sens-SCC,,,,,,1.0,,,24
pad,3,0.05,B,19.0,False,1.0,1.0,,1.0,1.0,4.208333333333333,24
pad,3,0.05,M1,26.0,False,0.9545454545454546,0.9761904761904762,0.0,1.0,1.0,4.0,22
pad,3,0.05,M2,160.0,False,0.9440993788819876,0.9495412844036697,0.0,1.0,1.0,4.142857142857143,161
pad,3,0.05,M3,77.0,False,0.9629629629629629,0.9534883720930233,0.0,1.0,1.0,4.148148148148148,54
pad,3,0.05,M4,10.0,True,1.0,1.0,0.0,1.0,1.0,5.333333333333333,9
pad,3,0.05,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.333333333333333,3
pad,3,0.05,cov-MEL,,,0.9,,,,,,10
pad,3,0.05,sens-MEL,,,,,,1.0,,,10
pad,3,0.05,cov-NV,,,1.0,,,,,,14
pad,3,0.05,cov-BCC,,,0.9871794871794872,,,,,,156
pad,3,0.05,sens-BCC,,,,,,1.0,,,156
pad,3,0.05,cov-AK,,,0.9361702127659575,,,,,,47
pad,3,0.05,sens-AK,,,,,,1.0,,,47
pad,3,0.05,cov-BKL,,,1.0,,,,,,10
pad,3,0.05,cov-SCC,,,0.8333333333333334,,,,,,36
pad,3,0.05,sens-SCC,,,,,,1.0,,,36
pad,3,0.1,B,19.0,False,0.9583333333333334,0.95,,1.0,1.0,3.125,24
pad,3,0.1,M1,26.0,False,0.9545454545454546,0.9761904761904762,0.0,1.0,1.0,3.0,22
pad,3,0.1,M2,160.0,False,0.8757763975155279,0.8753822629969418,0.0,1.0,1.0,2.8260869565217392,161
pad,3,0.1,M3,77.0,False,0.9629629629629629,0.9534883720930233,0.0,1.0,1.0,3.1666666666666665,54
pad,3,0.1,M4,10.0,False,0.8888888888888888,0.8571428571428571,0.0,1.0,1.0,3.7777777777777777,9
pad,3,0.1,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,4.666666666666667,3
pad,3,0.1,cov-MEL,,,0.9,,,,,,10
pad,3,0.1,sens-MEL,,,,,,1.0,,,10
pad,3,0.1,cov-NV,,,1.0,,,,,,14
pad,3,0.1,cov-BCC,,,0.9487179487179487,,,,,,156
pad,3,0.1,sens-BCC,,,,,,1.0,,,156
pad,3,0.1,cov-AK,,,0.9148936170212766,,,,,,47
